 ISIN, Scrip Name, NSE Symbol, MWPL, NSE Open Interest
INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,41012842,30337000
INE117A01022,ABB INDIA LIMITED,ABB,10595418,3716500
INE358A01014,ABBOTT INDIA LIMITED,ABBOTINDIA,1063050,206500
INE012A01025,ACC LIMITED,ACC,16266067,9316500
INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,62450033,34476000
INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,147352572,68276400
INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,161393400,119647800
INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,83638248,77425400
INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,10343828,1604100
INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,146089317,61617600
INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20321409,4195125
INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,79567108,39926200
INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282399403,248915000
INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90811403,22640800
INE006I01046,ASTRAL LIMITED,ASTRAL,24659168,7625893
INE100A01010,ATUL LTD,ATUL,3228695,1005500
INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,114477878,31005000
INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,56444627,23046650
INE238A01034,AXIS BANK LIMITED,AXISBANK,546857493,86174375
INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,25094277,4892550
INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,55896689,20448750
INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,124862934,19559500
INE787D01026,BALKRISHNA IND. LTD,BALKRISIND,16125398,6166800
INE119A01028,BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,23040698,17696000
INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,193370778,156421800
INE028A01039,BANK OF BARODA,BANKBARODA,372635498,276971175
INE176A01028,BATA INDIA LTD,BATAINDIA,12812405,9047250
INE463A01038,BERGER PAINTS (I) LTD,BERGEPAINT,58313322,40076520
INE263A01024,BHARAT ELECTRONICS LTD,BEL,714371379,292940100
INE465A01025,BHARAT FORGE LTD,BHARATFORG,50979391,16419500
INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,204013830,63960300
INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,561956319,67322700
INE257A01026,BHEL,BHEL,256482590,189824250
INE376G01013,BIOCON LIMITED.,BIOCON,93756161,104457500
INE836A01035,BIRLASOFT LIMITED,BSOFT,32597887,27165000
INE323A01026,BOSCH LIMITED,BOSCHLTD,1737683,544950
INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,23823080,5422400
INE477A01020,CAN FIN HOMES LTD,CANFINHOME,18644752,10374000
INE476A01022,CANARA BANK,CANBK,672420574,559797750
INE085A01013,CHAMBAL FERTILIZERS LTD,CHAMBLFERT,31488204,25159800
INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,83401373,15101250
INE059A01026,CIPLA LTD,CIPLA,107207236,26013000
INE491A01021,CITY UNION BANK LTD,CUB,148134380,67475000
INE522F01014,COAL INDIA LTD,COALINDIA,454398477,144349800
INE591G01017,COFORGE LIMITED,COFORGE,12364198,6903000
INE259A01022,COLGATE PALMOLIVE LTD.,COLPAL,26654592,6253800
INE111A01025,CONTAINER CORP OF IND LTD,CONCOR,55081874,32846000
INE169A01031,COROMANDEL INTERNTL. LTD,COROMANDEL,25132585,6525400
INE299U01018,CROMPT GREA CON ELEC LTD,CROMPTON,128621395,32299200
INE298A01020,CUMMINS INDIA LTD,CUMMINSIND,27165600,6981000
INE016A01026,DABUR INDIA LTD,DABUR,119607761,40023750
INE00R701025,DALMIA BHARAT LIMITED,DALBHARAT,16563216,5045650
INE288B01029,DEEPAK NITRITE LTD,DEEPAKNTR,13876110,5091900
INE361B01024,DIVI S LABORATORIES LTD,DIVISLAB,25526996,6379600
INE935N01020,DIXON TECHNO (INDIA) LTD,DIXON,7963947,4320500
INE271C01023,DLF LIMITED,DLF,128335464,81461325
INE600L01024,DR. LAL PATH LABS LTD.,LALPATHLAB,7526388,2351700
INE089A01023,DR. REDDY S LABORATORIES,DRREDDY,24413469,5709125
INE066A01021,EICHER MOTORS LTD,EICHERMOT,27848108,6234550
INE042A01014,ESCORTS KUBOTA LIMITED,ESCORTS,6739073,3042050
INE302A01020,EXIDE INDUSTRIES LTD,EXIDEIND,91809066,51402600
INE171A01029,FEDERAL BANK LTD,FEDERALBNK,467602645,200060000
INE129A01019,GAIL (INDIA) LTD,GAIL,627952357,269028300
INE935A01035,GLENMARK PHARMACEUTICALS,GLENMARK,30114093,14479700
INE776C01039,GMR AIRPORTS INFRA LTD,GMRINFRA,494055219,429547500
INE102D01028,GODREJ CONSUMER PRODUCTS,GODREJCP,75266412,10203000
INE484J01027,GODREJ PROPERTIES LTD,GODREJPROP,23088368,9381750
INE101D01020,GRANULES INDIA LIMITED,GRANULES,28133038,21024000
INE047A01021,GRASIM INDUSTRIES LTD,GRASIM,77079906,12878914
INE113A01013,GUJ NAR VAL FER & CHEM L,GNFC,17249403,16719300
INE844O01030,GUJARAT GAS LIMITED,GUJGASLTD,53841317,16700000
INE176B01034,HAVELLS INDIA LIMITED,HAVELLS,50791225,12171500
INE860A01027,HCL TECHNOLOGIES LTD,HCLTECH,211537881,43268750
INE127D01025,HDFC AMC LIMITED,HDFCAMC,20260834,3753000
INE040A01034,HDFC BANK LTD,HDFCBANK,1313707022,286567600
INE795G01014,HDFC LIFE INS CO LTD,HDFCLIFE,213412404,75083800
INE158A01026,HERO MOTOCORP LIMITED,HEROMOTOCO,26086712,8454150
INE038A01020,HINDALCO  INDUSTRIES  LTD,HINDALCO,291695028,104650000
INE066F01020,HINDUSTAN AERONAUTICS LTD,HAL,37934515,29354700
INE531E01026,HINDUSTAN COPPER LTD,HINDCOPPER,65482129,76163650
INE094A01015,HINDUSTAN PETROLEUM CORP,HINDPETRO,127940594,56143800
INE030A01027,HINDUSTAN UNILEVER LTD.,HINDUNILVR,179035680,34056900
INE090A01021,ICICI BANK LTD.,ICICIBANK,1129534288,122656100
INE765G01017,ICICI LOMBARD GIC LIMITED,ICICIGI,48017411,4873000
INE726G01019,ICICI PRU LIFE INS CO LTD,ICICIPRULI,77098687,23266500
INE092T01019,IDFC FIRST BANK LIMITED,IDFCFIRSTB,884697101,748140000
INE043D01016,IDFC LIMITED,IDFC,319996887,144510000
INE933S01016,INDIAMART INTERMESH LTD,INDIAMART,6086811,3622500
INE022Q01020,INDIAN ENERGY EXC LTD,IEX,177845485,135645000
INE242A01010,INDIAN OIL CORP LTD,IOC,1369807723,339612000
INE335Y01020,INDIAN RAIL TOUR CORP LTD,IRCTC,60165566,35877625
INE203G01027,INDRAPRASTHA GAS LTD,IGL,77000080,44159500
INE121J01017,INDUS TOWERS LIMITED,INDUSTOWER,166908773,115861800
INE095A01012,INDUSIND BANK LIMITED,INDUSINDBK,119824495,45885000
INE663F01024,INFO EDGE (I) LTD,NAUKRI,16022273,3028650
INE009A01021,INFOSYS LIMITED,INFY,630383878,78846800
INE646L01027,INTERGLOBE AVIATION LTD,INDIGO,32969057,18100200
INE571A01038,IPCA LABORATORIES LTD,IPCALAB,27247349,2920450
INE154A01025,ITC LTD,ITC,2495746528,251620800
INE749A01030,JINDAL STEEL & POWER LTD,JINDALSTEL,75634801,28213125
INE823G01014,JK CEMENT LIMITED,JKCEMENT,8390912,809625
INE019A01038,JSW STEEL LIMITED,JSWSTEEL,268152455,32463450
INE797F01020,JUBILANT FOODWORKS LTD,JUBLFOOD,76153623,64296250
INE237A01028,KOTAK MAHINDRA BANK LTD,KOTAKBANK,294608100,83566000
INE498L01015,L&T FINANCE LIMITED,LTF,169942037,87352574
INE010V01017,L&T TECHNOLOGY SER. LTD.,LTTS,5553388,4190700
INE018A01030,LARSEN & TOUBRO LTD.,LT,271166271,27294900
INE947Q01028,LAURUS LABS LIMITED,LAURUSLABS,78489452,25212700
INE115A01026,LIC HOUSING FINANCE LTD,LICHSGFIN,60244101,45669000
INE214T01019,LTIMINDTREE LIMITED,LTIM,18597336,6092250
INE326A01037,LUPIN LIMITED,LUPIN,48294832,21420850
INE774D01024,M&M FIN. SERVICES LTD,M&MFIN,117997225,72400000
INE002S01010,MAHANAGAR GAS LTD.,MGL,13335005,5416400
INE101A01026,MAHINDRA & MAHINDRA LTD,M&M,188523530,31180450
INE522D01027,MANAPPURAM FINANCE LTD,MANAPPURAM,109696743,83169000
INE196A01026,MARICO LIMITED,MARICO,104938679,33124800
INE585B01010,MARUTI SUZUKI INDIA LTD.,MARUTI,26290219,7176850
INE180A01020,MAX FINANCIAL SERV LTD,MFSL,64519703,10855200
INE112L01020,METROPOLIS HEALTHCARE LTD,METROPOLIS,5155102,3753200
INE356A01018,MPHASIS LIMITED,MPHASIS,16835167,4992350
INE883A01011,MRF LTD,MRF,612621,96895
INE745G01035,MULTI COMMODITY EXCHANGE,MCX,10180563,7506000
INE414G01012,MUTHOOT FINANCE LIMITED,MUTHOOTFIN,21399560,9305450
INE139A01034,NATIONAL ALUMINIUM CO LTD,NATIONALUM,178967755,141667500
INE048G01026,NAVIN FLUORINE INT. LTD,NAVINFLUOR,7058735,3774225
INE239A01024,NESTLE INDIA LIMITED,NESTLEIND,71801274,9517600
INE584A01023,NMDC LTD.,NMDC,229794455,182502000
INE733E01010,NTPC LTD,NTPC,948263976,206262000
INE093I01010,OBEROI REALTY LIMITED,OBEROIRLTY,23485458,13231400
INE213A01029,OIL AND NATURAL GAS CORP.,ONGC,1034282422,167990900
INE881D01027,ORACLE FIN SERV SOFT LTD.,OFSS,4724091,1806000
INE761H01022,PAGE INDUSTRIES LTD,PAGEIND,1224492,409650
INE262H01021,PERSISTENT SYSTEMS LTD,PERSISTENT,20908106,5596200
INE347G01014,PETRONET LNG LIMITED,PETRONET,150000017,82542000
INE603J01030,PI INDUSTRIES LTD,PIIND,16354396,3205250
INE318A01026,PIDILITE INDUSTRIES LTD,PIDILITIND,30749343,3844500
INE140A01024,PIRAMAL ENTERPRISES LTD,PEL,23955401,20823750
INE455K01017,POLYCAB INDIA LIMITED,POLYCAB,10444399,4418400
INE134E01011,POWER FIN CORP LTD.,PFC,290447407,176194125
INE752E01010,POWER GRID CORP. LTD.,POWERGRID,905143907,134017200
INE160A01022,PUNJAB NATIONAL BANK,PNB,591377974,493272000
INE191H01014,PVR INOX LIMITED,PVRINOX,14162874,10610897
INE976G01028,RBL BANK LIMITED,RBLBANK,121019977,89767500
INE020B01018,REC LIMITED,RECLTD,249446067,106030000
INE002A01018,RELIANCE INDUSTRIES LTD,RELIANCE,656308750,74354000
INE775A01035,SAMVRDHNA MTHRSN INTL LTD,MOTHERSON,537299765,224431000
INE018E01016,SBI CARDS & PAY SER LTD,SBICARD,59666721,39618400
